"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "HTML", "Python", "XML", "Markdown", "Properties", "comment", "blank", "total"
"/Users/osipowvw/diplom/Diplom/messenger-frontend/src/services/api.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 34
"/Users/osipowvw/diplom/Diplom/messenger-frontend/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/osipowvw/diplom/Diplom/messenger_project/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/osipowvw/diplom/Diplom/messenger_project/asgi.py", "Python", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 5, 20
"/Users/osipowvw/diplom/Diplom/messenger_project/settings.py", "Python", 0, 0, 0, 0, 0, 105, 0, 0, 0, 18, 25, 148
"/Users/osipowvw/diplom/Diplom/messenger_project/urls.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 4, 20
"/Users/osipowvw/diplom/Diplom/messenger_project/wsgi.py", "Python", 0, 0, 0, 0, 0, 4, 0, 0, 0, 8, 5, 17
"/Users/osipowvw/diplom/Diplom/package-lock.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/osipowvw/diplom/Diplom/package.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 48, 806, 510, 22010, 20, 671, 1, 38, 3, 190, 396, 24693
